year,iso_code,country,economic_freedom,rank,quartile,gdp_growth
2013,MNE,Montenegro,7.08,68.0,2.0,"3,5"
2013,MAR,Morocco,6.37,113.0,3.0,"4,413669816"
2013,MOZ,Mozambique,5.78,138.0,4.0,"7,148756188"
2013,MMR,Myanmar,5.35,146.0,4.0,
2013,NAM,Namibia,6.63,97.0,3.0,"4,40563975"
2013,NPL,Nepal,6.36,116.0,3.0,"3,781821435"
2013,NLD,Netherlands,7.62,27.0,1.0,"-0,822773944"
2013,NZL,New Zealand,8.48,3.0,1.0,"2,496721623"
2013,NIC,Nicaragua,7.34,46.0,2.0,"4,606049654"
2013,NER,Niger,5.69,140.0,4.0,"3,875027855"
2013,NGA,Nigeria,6.39,111.0,3.0,"5,394416311"
2013,NOR,Norway,7.6,29.0,1.0,"0,646705221"
2013,OMN,Oman,6.98,75.0,2.0,"5,071"
2013,PAK,Pakistan,6.14,125.0,4.0,"6,069552039"
2013,PAN,Panama,7.38,39.0,1.0,"8,352293815"
2013,PNG,Pap. New Guinea,6.96,77.0,2.0,"5,400269167"
2013,PRY,Paraguay,6.95,78.0,2.0,"13,55160363"
2013,PER,Peru,7.52,33.0,1.0,"5,821589059"
2013,PHL,Philippines,7.54,30.0,1.0,"7,162873561"
2013,POL,Poland,7.25,56.0,2.0,"1,573801397"
2013,PRT,Portugal,7.52,33.0,1.0,"-1,392204196"
2013,QAT,Qatar,7.54,30.0,1.0,"5,55"
2013,ROU,Romania,7.63,25.0,1.0,"3,499921297"
2013,RUS,Russia,6.62,98.0,3.0,"1,318691676"
2013,RWA,Rwanda,7.4,38.0,1.0,"4,579597771"
2013,SAU,Saudi Arabia,6.55,104.0,3.0,"3,798"
2013,SEN,Senegal,6.2,123.0,4.0,"4,048"
2013,SRB,Serbia,6.68,92.0,3.0,"2,456"
2013,SYC,Seychelles,7.24,57.0,2.0,"3,5"
2013,SLE,Sierra Leone,6.12,126.0,4.0,"20,1"
2013,SGP,Singapore,8.64,2.0,1.0,"3,851064073"
2013,SVK,Slovak Rep,7.38,39.0,1.0,"0,940826114"
2013,SVN,Slovenia,6.75,89.0,3.0,"-1,106561843"
2013,ZAF,South Africa,7.08,68.0,2.0,"1,89062401"
2013,ESP,Spain,7.35,45.0,2.0,"-1,222700551"
2013,LKA,Sri Lanka,6.64,95.0,3.0,"7,250906975"
2013,SDN,Sudan,,,,"-6,004"
2013,SUR,Suriname,6.72,91.0,3.0,"4,443091905"
2013,SWZ,Swaziland,6.56,103.0,3.0,"2,786469975"
2013,SWE,Sweden,7.44,36.0,1.0,"1,637359532"
