year,iso_code,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2013,ALB,6.981637674,6.647075198,6.244828084,6.624513652
2013,DZA,6.666666667,4.629484424,4.932421559,5.409524216
2013,AGO,8.731571831,2.634847556,4.575142261,5.313853883
2013,ARG,6.794012051,4.92616717,4.825747682,5.515308967999999
2013,ARM,9.463663354,6.3792528939999995,6.774169575,7.539028608
2013,AUS,9.501404874,7.0242545970000005,8.07915989,8.201606453
2013,AUT,9.083051699,6.0861826489999995,7.522659709,7.563964685
2013,AZE,8.0,6.34647655,6.880803346,7.075759965
2013,BHS,8.622733198999999,8.361606213,8.01504523,8.333128214
2013,BHR,9.480613884,8.317746574,8.10571376,8.634691406
2013,BGD,7.863858104,7.229300341,5.283619969,6.792259471
2013,BLR,,,,
2013,BEL,9.47941333,7.04477752,7.3736908020000005,7.965960551
2013,BLZ,9.947941842999999,6.981072142,6.76781704,7.898943675
2013,BEN,10.0,5.503902077,5.902137547000001,7.1353465410000005
2013,BTN,7.246926811,8.638740403,6.295208907,7.393625374
2013,BOL,9.0,4.481548486,3.75686885,5.746139112000001
2013,BIH,9.480411181000001,6.87026701,5.525724751,7.292134314
2013,BWA,9.333333332999999,7.614932821,6.984936616000001,7.977734257000001
2013,BRA,6.926128092999999,4.360984796,3.714042112,5.000385
2013,BRN,9.494625591,8.150586464,6.366739971,8.003984009
2013,BGR,9.731561115,7.392697296000001,6.297472915,7.807243775
2013,BFA,9.342313616,7.341669476,5.605428307,7.4298038
2013,BDI,5.0,7.741478592000001,5.8555193139999995,6.198999302000001
2013,KHM,8.006711409,6.750227332000001,4.661074366,6.472671036
2013,CMR,7.145061728,7.2898234760000005,4.793967272,6.409617492000001
2013,CAN,10.0,8.351451629,7.8972774999999995,8.749576376
2013,CPV,8.892470942000001,4.310519288,6.617644202999999,6.6068781439999995
2013,CAF,7.861666667000001,3.7066548999999998,4.569254396,5.379191988
2013,TCD,6.559748428,5.944582369,3.5739507980000003,5.359427198000001
2013,CHL,9.226618588,5.288991503,7.678478963,7.398029685
2013,CHN,7.209214537,5.633053942,6.177178176,6.339815552
2013,COL,9.173639334,6.092883785,6.894638167,7.387053762000001
2013,COD,6.333333333,5.674673156,4.997604877,5.668537122
2013,COG,6.2053177139999995,6.157673442,4.727844898,5.696945351
2013,CRI,6.858702318,6.143361118,6.770706372,6.590923269
2013,CIV,8.818959595,5.464781975,5.318071358,6.533937643
2013,HRV,9.055441829,6.614389374,6.161479961,7.2771037210000005
2013,CYP,8.43867532,6.131974245,7.146704653,7.239118072999999
2013,CZE,9.551417359,8.126331456,6.2775086270000005,7.985085814
2013,DNK,9.946440217000001,7.339570926,8.00448214,8.430164428
2013,DOM,7.300647948,6.40058561,5.8910814060000005,6.530771655
2013,ECU,9.268666667,4.699911561,5.056863948999999,6.341814059
2013,EGY,4.0,5.034544845,5.666344808,4.900296551
2013,SLV,7.511748523,4.46131781,6.149655276,6.040907203
2013,EST,9.952379078,6.307818955,8.446290401,8.235496145
2013,ETH,5.155497508,7.514626842,5.345284699,6.00513635
2013,FJI,9.732764973,7.751834681,6.4365231210000005,7.973707592
2013,FIN,9.482480949,5.223909731,8.473428295,7.726606325
2013,FRA,9.210847559,5.333542435,7.456025436,7.33347181
2013,GAB,7.866320958999999,7.434373094,5.019281014,6.773325022000001
2013,GMB,6.333333333,8.189752594,5.750244566,6.757776831
2013,GEO,9.778029756,6.455134166000001,7.7669454710000005,8.000036463999999
2013,DEU,8.333333332999999,6.487236755,7.919468837999999,7.580012975
2013,GHA,7.557323058,5.916445965,6.413133101000001,6.628967375
2013,GRC,8.706203136000001,4.628089588,6.5114549760000004,6.615249232999999
2013,GTM,9.066846236,4.701193128,6.562324198,6.776787854
2013,GIN,10.0,5.346732401000001,4.465994211,6.604242204
2013,GNB,9.525877904,2.308431197,4.718467055,5.517592052
2013,GUY,6.333333333,7.7866004460000005,6.052770447,6.724234742
2013,HTI,8.083612679,8.101145435,4.774632318,6.986463477
2013,HND,8.093898211,5.245872637,6.337680725,6.559150525
2013,HKG,10.0,9.302483472,8.947818654,9.416767375
2013,HUN,9.619947912,6.849530302000001,6.799888615,7.75645561
2013,ISL,7.888668602,7.669092527999999,8.067469079,7.8750767360000005
2013,IND,6.5945494710000006,6.835304575,5.878303366,6.436052471
2013,IDN,8.097597647,4.54282986,6.069412647999999,6.236613385
2013,IRN,3.268221236,4.602670324,4.883003563,4.251298374
2013,IRQ,,,,
2013,IRL,7.971009694,7.855962988,8.454899761,8.093957481
2013,ISR,9.52245799,5.386807335,7.054798754,7.321354692999999
2013,ITA,9.433073515,6.554414962999999,6.082100334,7.3565296039999994
2013,JAM,9.666666667000001,7.988157838999999,6.080354731,7.911726412
2013,JPN,8.050361367999999,8.327551146000001,7.556518077000001,7.97814353
2013,JOR,8.176303382999999,8.429560785,7.072880836,7.8929150020000005
2013,KAZ,9.333333332999999,7.63445528,6.777368891,7.915052502000001
2013,KEN,7.990611478,7.810027217000001,6.100588926,7.300409207
2013,KOR,9.333333332999999,4.511961171,7.757156437000001,7.20081698
2013,KWT,10.0,7.02856936,5.956393896,7.6616544189999995
2013,KGZ,7.765882437999999,6.135160445,5.970961728,6.624001537000001
2013,LAO,,,,
2013,LVA,9.132156525,6.917940616,7.522349832000001,7.857482323999999
2013,LBN,5.0,7.923823361,4.821312441,5.915045267000001
2013,LSO,9.666666667000001,6.427190521,6.303395352000001,7.465750847000001
2013,LBR,,,,
2013,LBY,6.666666667,6.898075727,2.8039871030000003,5.456243166
