year,iso_code,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights
2013,ALB,2.465461885,3.27152096,2.9559380589999997,8.333333332999999,4.166666667,4.387444055,6.329975526,4.540075638999999,5.57957178,0.9459459459999999,4.5437824760000005
2013,DZA,4.102089305,3.40035474,4.53773903,5.0,5.0,4.386015533999999,6.626692153,5.121435779,4.981421017,0.810810811,4.341494124
2013,AGO,1.843129164,1.974565724,2.5123641869999997,3.333333333,4.166666667,2.302200397,5.423011165,3.0161039869999997,4.291196631,0.864864865,2.990266391
2013,ARG,2.1547418169999997,2.10032088,2.705497124,7.5,3.3,4.772538354,6.857195103,2.800509913,3.7253289960000004,0.810810811,3.6131844689999997
2013,ARM,3.199651233,3.556048928,5.255961891,5.833333333,5.0,5.318215028,9.80196309,4.9902411330000005,7.562823602000001,1.0,5.613137582
2013,AUS,8.146540697999999,5.770616262999999,7.512845989,10.0,9.166666667000001,6.163151928,8.205654997,8.424030446,7.4835677810000005,1.0,7.874786085
2013,AUT,6.957152751000001,5.801655932,8.073970854,10.0,10.0,6.378971834,8.10049394,8.233350519,8.479242265,1.0,8.002759787999999
2013,AZE,3.6008412360000004,4.469793583,4.682007013,5.0,5.833333333,7.252962407999999,9.707871986,5.139397644,7.7871239889999995,0.756756757,5.21886866
2013,BHS,,6.596738383,,10.0,7.5,5.490581382999999,3.716887055,,,0.9459459459999999,6.480818625
2013,BHR,5.686038612999999,5.066078642,7.077974195,5.0,7.5,4.785814418,8.855314534,6.728068254,5.818962483,0.5365853660000001,4.824728756
2013,BGD,2.049618803,3.130569998,3.754501602,4.166666667,3.333333333,0.941148344,3.0218651430000003,2.617880778,4.1500559710000005,0.810810811,2.7328797639999998
2013,BLR,,,,,,,,,,,
2013,BEL,7.78352177,5.2213298130000005,7.414327537,10.0,8.333333332999999,5.583266127999999,4.615816087,7.823979136,7.422322801,1.0,7.133099623
2013,BLZ,7.377462984,5.231474587,7.351332068,6.8,,3.329065561,7.307131049,7.723070547000001,7.55810551,0.837837838,6.050810265
2013,BEN,7.057280467999999,4.77677146,7.099978772999999,7.1,,1.068746974,3.886170025,7.9163989070000005,7.981496365,0.666666667,4.884046143
2013,BTN,6.351407032999999,4.397572314,5.61954203,8.4,,7.365354835,6.617713964,6.558575737000001,7.695621427000001,0.923076923,6.370887901000001
2013,BOL,3.8230748969999997,4.265077277,4.084681402,5.0,4.166666667,3.993334023,6.735226572999999,4.089980314,4.350035836,0.837837838,4.135959813
2013,BIH,3.50721584,4.009745132,3.68895016,5.3,,3.914579315,7.837119866,3.656263744,4.626946384,0.8918918920000001,4.32070512
2013,BWA,6.457826343,5.207729018999999,6.499660914,8.333333332999999,5.833333333,3.3360712510000003,8.040084127,5.424364727,5.214137216,0.972972973,5.956903062
2013,BRA,4.255264021,3.550847811,4.989275362,6.666666667,3.333333333,3.997439337,8.579116078,4.848202224,3.7183950169999997,0.8918918920000001,4.618164848999999
2013,BRN,4.778709672,4.008970466,5.997354014,8.333333332999999,8.333333332999999,4.1711035260000004,4.802773258,5.550550996,4.003645122,0.794871795,4.98373812
2013,BGR,2.215120052,2.6974481339999996,4.113326397,8.333333332999999,4.166666667,4.767973315,8.857745037,3.7756284260000004,5.431349518999999,0.8918918920000001,4.662314357
2013,BFA,1.853980189,3.594626659,4.163926422,4.166666667,5.0,2.139195153,4.690602869,5.077216989,4.677293378,0.8918918920000001,3.71688526
2013,BDI,1.045913446,3.186270965,2.9343241769999997,2.9,,2.65461566,8.513441578,1.930255991,4.153009218,0.897435897,3.2396145780000003
2013,KHM,2.115391652,3.126299356,3.9129234139999998,5.9,,1.824541681,7.495313256,3.244600283,5.204018134,1.0,4.102885972
2013,CMR,3.048734183,4.0452256360000005,4.393358818,5.0,3.333333333,2.168525641,3.3746655760000004,5.481522699,5.661086132,0.615384615,3.2762200530000003
2013,CAN,8.587813503,6.916324897000001,8.315060481,10.0,9.166666667000001,4.813896634,8.603415498,8.545693274,6.9806387679999995,1.0,7.992167747000001
2013,CPV,5.253687983,4.191367542,4.627295588,8.5,,6.058581632999999,8.367985197000001,5.712293417000001,4.6825494569999995,1.0,5.9242201020000005
2013,CAF,5.202476376,2.3,4.791649262,0.6,,0.508171469,4.933862454,5.589909046,4.823375071,0.692307692,3.040806543
2013,TCD,1.9739853230000002,2.0460600330000003,2.516518955,3.4,,2.223210769,4.1720227439999995,2.7484604160000004,3.365790833,0.7105263159999999,2.399659852
2013,CHL,7.021313367,5.416483479,6.636406625,7.5,7.5,5.109379145,9.066918247,8.80977322,6.053640916,0.897435897,6.653033775
2013,CHN,4.977376553,4.713308505,5.812530901000001,5.0,5.833333333,6.067809479,8.449994338,5.499891803,6.343013481,0.8918918920000001,5.538750882
2013,COL,3.06846218,3.7225406239999996,4.770641988,3.333333333,3.333333333,2.089536013,9.040189726,5.073686563,2.8115783789999997,0.864864865,3.8585403119999997
2013,COD,3.40610232,2.8,4.725693745,0.0,1.6666666669999999,0.9700585559999999,6.045676796,5.257818143,2.799172228,0.58974359,2.443894137
2013,COG,,2.63424664,,0.0,3.333333333,3.011738204,3.960541938,,,0.7179487179999999,2.223001609
2013,CRI,6.73295796,4.8840080839999995,5.966561521,10.0,5.0,3.523501568,8.523296281,6.5882973410000005,5.001558327,0.864864865,5.824613355
