year,iso_code,1a_government_consumption,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government
2013,MAR,4.705882353,8.0,3.5,5.874993902999999
2013,MOZ,4.532352941,6.0,6.0,6.388637175
2013,MMR,3.5823529410000003,6.0,8.0,5.860784314
2013,NAM,3.4382352939999996,7.0,7.0,6.125999599
2013,NPL,8.441176471,8.0,7.0,8.216590932999999
2013,NLD,0.9117647059999999,8.0,3.0,3.834361735
2013,NZL,4.5882352939999995,8.0,7.0,6.439380526
2013,NIC,9.326470588,7.0,8.0,8.581617647
2013,NER,6.95,4.0,5.0,6.447309263999999
2013,NGA,9.135294118,2.0,7.0,7.000696962999999
2013,NOR,1.529411765,8.0,5.5,5.023802398
2013,OMN,0.0,0.0,10.0,4.533714916
2013,PAK,8.264705882000001,6.0,10.0,8.343677442
2013,PAN,6.882352941000001,6.0,6.5,6.984552813
2013,PNG,3.095230112,8.0,5.0,6.3028266020000006
2013,PRY,7.323529412,8.0,8.5,8.227106946000001
2013,PER,7.235294118,7.0,6.0,7.461852067000001
2013,PHL,7.882352941000001,10.0,7.0,8.528490142999999
2013,POL,5.0,7.0,5.5,5.6562282779999995
2013,PRT,5.0882352939999995,10.0,2.5,5.408417513
2013,QAT,0.0,,10.0,6.537882662
2013,ROU,6.282352941,8.0,7.0,7.015163812999999
2013,RUS,4.1411764710000005,10.0,7.0,6.54683496
2013,RWA,7.405882352999999,0.0,6.5,5.687297169
2013,SAU,0.0,,10.0,5.0
2013,SEN,6.823529412,7.0,5.0,7.205882353
2013,SRB,6.105739700000001,10.0,7.5,6.8237595429999995
2013,SYC,0.497058824,7.0,10.0,6.659706066
2013,SLE,9.564705882,4.0,6.5,7.5161764710000005
2013,SGP,5.514705882,8.0,10.0,8.092219901
2013,SVK,4.647058824,10.0,5.5,6.150543041000001
2013,SVN,4.0147058819999994,7.0,2.0,4.408527246
2013,ZAF,4.2764705880000005,10.0,5.5,7.019128801
2013,ESP,4.382352941000001,10.0,4.0,5.706727962
2013,LKA,8.732352941,7.0,8.5,8.396599958
2013,SDN,,,,
2013,SUR,0.0,10.0,5.0,5.89619573
2013,SWZ,6.076470587999999,2.0,7.0,6.237964907
2013,SWE,1.205882353,7.0,1.0,3.397343696
2013,CHE,6.4,10.0,7.0,7.367298865
2013,SYR,6.812564953,2.0,7.0,6.194898732
2013,TJK,8.970588235,0.0,8.5,6.633518992999999
2013,TZA,6.117647058999999,7.0,5.5,7.147221866000001
2013,THA,4.567647059,7.0,8.0,7.17174601
2013,TLS,0.0,7.0,10.0,6.292104996
2013,TGO,6.967647059,4.0,7.0,6.603727349
2013,TTO,6.270588235,0.0,7.0,5.422396636
2013,TUN,5.426470588,7.0,5.5,6.084405674
2013,TUR,6.3,7.0,7.0,6.583131785
2013,UGA,8.852941176,10.0,4.0,8.208316355
2013,UKR,5.435294118,10.0,7.0,6.473372761
2013,ARE,6.614705882000001,2.0,10.0,6.784645823
2013,GBR,4.944117647,10.0,4.0,6.037330092
2013,USA,6.4117647060000005,8.0,5.0,6.372190246000001
2013,URY,6.647058824,8.0,8.0,7.157479782
2013,VEN,7.062094911,0.0,6.0,4.708984218
2013,VNM,9.235294117999999,,6.0,7.617647058999999
2013,YEM,7.902941176000001,6.0,9.0,7.980834284
2013,ZMB,6.2,4.0,5.5,6.425
2013,ZWE,5.488235294,6.0,5.0,6.622058824
2012,ALB,8.147058824,8.0,8.5,8.064677342000001
2012,DZA,0.382352941,0.0,4.5,3.174870489
2012,AGO,1.779411765,0.0,9.5,4.920653732
2012,ARG,5.702941176,6.0,4.0,5.236589766
2012,ARM,8.494117647000001,10.0,8.0,8.622289329
2012,AUS,4.4117647060000005,10.0,5.5,6.6743631820000004
2012,AUT,4.205882353,10.0,3.5,5.249565894
2012,AZE,5.676470588,0.0,6.0,4.949775446
2012,BHS,6.617647058999999,7.0,10.0,8.14129879
2012,BHR,3.6470588239999997,4.0,10.0,6.737241545
2012,BGD,9.735294117999999,7.0,9.0,8.843289664
2012,BLR,,,,
2012,BEL,2.352941176,10.0,1.0,3.923812022
2012,BLZ,6.597596571,6.0,9.0,7.561601986
2012,BEN,6.191176471,2.0,3.5,5.216080917
2012,BTN,2.8088235289999997,,,
2012,BOL,6.323529412,0.0,10.0,6.290010418
2012,BIH,5.5831387889999995,4.0,6.5,5.277231578
2012,BWA,4.0,7.0,9.0,6.791008174
2012,BRA,4.932352941,4.0,8.0,5.814050217999999
2012,BRN,0.0,,10.0,5.0
2012,BGR,6.029411765,8.0,8.5,6.9850155670000005
2012,BFA,4.382352941000001,2.0,4.0,5.095588235
2012,BDI,4.647058824,2.0,1.0,4.238443061
2012,KHM,9.785294118,2.0,10.0,7.847095802
2012,CMR,7.35,7.0,4.5,7.104275039
2012,CAN,3.7941176469999998,8.0,6.0,6.173981909
2012,CPV,5.5485514579999995,2.0,5.0,5.477133082000001
2012,CAF,9.411764706,0.0,5.0,5.997965136
2012,TCD,9.117647059,2.0,1.0,5.508975797000001
2012,CHL,7.0,10.0,7.0,8.002938646
2012,CHN,3.891176471,2.0,6.0,5.0463636
2012,COL,5.529411765,8.0,5.0,6.556486988
2012,COD,7.4117647060000005,4.0,2.5,5.690543356
2012,COG,3.235294118,0.0,3.0,4.0333773410000004
2012,CRI,5.4117647060000005,10.0,6.5,7.615586287
2012,CIV,6.420588235,2.0,2.5,5.138671777
2012,HRV,4.5,8.0,2.0,4.839696158
2012,CYP,5.332432517,10.0,6.5,6.922867001
2012,CZE,3.323529412,10.0,7.0,5.753635849
2012,DNK,1.323529412,7.0,2.5,3.786335463
2012,DOM,8.352941176,6.0,8.0,7.91175254
2012,ECU,6.470588235,2.0,5.5,5.890467222000001
2012,EGY,8.147058824,4.0,9.0,6.961254928
2012,SLV,8.588235294,8.0,8.0,8.42336135
2012,EST,3.735294118,7.0,6.5,5.909200064
2012,ETH,8.735294117999999,4.0,5.5,6.835239777999999
2012,FJI,5.344117647,7.0,5.0,6.649082408
2012,FIN,2.7058823530000002,8.0,3.5,4.435505097
2012,FRA,2.9411764710000003,8.0,4.0,4.2203568019999995
2012,GAB,2.273529412,4.0,3.5,4.895698428999999
2012,GMB,8.694117647,0.0,7.0,6.318406924
2012,GEO,5.941176471,6.0,10.0,7.114775237000001
2012,DEU,4.382352941000001,10.0,5.0,5.382417276
2012,GHA,2.588235294,7.0,7.0,6.556459368
2012,GRC,4.882352941000001,7.0,5.0,5.101971613
2012,GTM,8.5,10.0,5.5,8.463260624
2012,GIN,9.382352941,,,
2012,GNB,8.244117647000001,4.0,10.0,7.414705882000001
2012,GUY,6.752941176,2.0,5.5,4.750980392
2012,HTI,9.435294118,0.0,8.0,6.838046962999999
2012,HND,6.735294118,10.0,8.5,8.808823529
2012,HKG,8.132352941,8.0,10.0,8.890999142
2012,HUN,3.787050568,8.0,6.5,5.720404147000001
2012,ISL,2.352941176,8.0,3.5,5.317160036000001
2012,IND,7.147058824,7.0,7.5,7.6895519839999995
2012,IDN,7.647058824,7.0,7.5,7.716656535
2012,IRN,6.870588235,7.0,7.0,7.214922262999999
2012,IRQ,,,,
2012,IRL,3.4411764710000003,10.0,4.0,5.6053645229999995
2012,ISR,3.279411765,10.0,5.0,6.435458282999999
2012,ITA,4.676470588,10.0,3.5,5.403697642999999
2012,JAM,7.0882352939999995,7.0,7.0,7.616874369
2012,JPN,4.352941176,10.0,5.0,5.768764585
2012,JOR,6.182352941,10.0,9.0,8.157767433
2012,KAZ,5.852941176,6.0,9.0,7.46987448
2012,KEN,7.323529412,6.0,8.0,7.801511731000001
2012,KOR,5.058823529,8.0,6.0,6.556841641
2012,KWT,0.264705882,7.0,10.0,6.253103606
2012,KGZ,6.794117647,7.0,8.5,7.710376773999999
2012,LAO,,,,
2012,LVA,5.241176471,8.0,6.0,6.501114007999999
2012,LBN,7.905882352999999,10.0,9.0,8.545240112
2012,LSO,3.670588235,0.0,7.0,4.905423022
2012,LBR,,,,
2012,LBY,0.0,,,
2012,LTU,5.37013492,10.0,7.0,7.1079819529999995
2012,LUX,1.382352941,8.0,3.5,4.02794581
2012,MKD,5.8382352939999995,8.0,8.5,6.723166564
2012,MDG,8.873370526,10.0,8.0,9.21289304
2012,MWI,7.673529412000001,2.0,6.5,6.49526642
2012,MYS,5.382352941000001,2.0,8.0,5.958771808
2012,MLI,6.482352941,8.0,3.5,6.966644212
2012,MLT,4.085380092,6.0,7.0,5.755304672
2012,MRT,3.15,8.0,5.0,5.3833333329999995
2012,MUS,7.264705882,7.0,9.0,7.945287875
2012,MEX,7.470588235,7.0,6.0,6.773641608999999
2012,MDA,6.5882352939999995,6.0,7.0,6.484433194
2012,MNG,5.7852941179999995,10.0,9.0,7.794434882999999
2012,MNE,6.205882353,7.0,7.5,6.901960784
2012,MAR,4.617647058999999,8.0,4.0,5.9151314820000005
2012,MOZ,5.279411765,6.0,6.0,6.575401881
2012,MMR,4.694117647,4.0,6.5,5.064705882
2012,NAM,3.605882353,10.0,6.0,7.11469267
2012,NPL,8.147058824,7.0,5.0,7.39291909
2012,NLD,0.470588235,8.0,3.0,3.586045687
2012,NZL,4.441176471,8.0,7.0,6.347394701
2012,NIC,9.332352941,7.0,8.0,8.58306359
