year,iso_code,country,economic_freedom,rank,quartile,gdp_growth,1a_government_consumption,1c_gov_enterprises,1d_top_marg_tax_rate,1_size_government,2a_judicial_independence,2b_impartial_courts,2c_protection_property_rights,2d_military_interference,2e_integrity_legal_system,2f_legal_enforcement_contracts,2g_restrictions_sale_real_property,2h_reliability_police,2i_business_costs_crime,2j_gender_adjustment,2_property_rights,3a_money_growth,3b_std_inflation,3c_inflation,3d_freedom_own_foreign_currency,3_sound_money,4a_tariffs,4b_regulatory_trade_barriers,4c_black_market,4d_control_movement_capital_ppl,4_trade,5a_credit_market_reg,5b_labor_market_reg,5c_business_reg,5_regulation
2013,BGD,Bangladesh,6.37,113.0,3.0,"6,030242521",9.823529412000001,7.0,9.0,8.851304769,2.049618803,3.130569998,3.754501602,4.166666667,3.333333333,0.941148344,3.0218651430000003,2.617880778,4.1500559710000005,0.810810811,2.7328797639999998,8.853360392,9.669530534,8.494005435,0.0,6.75422409,6.673822222,5.903137375,10.0,4.321912763,6.72471809,7.863858104,7.229300341,5.283619969,6.792259471
2013,BLR,Belarus,,,,"0,894547993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,BEL,Belgium,7.37,42.0,2.0,"0,196622433",2.323529412,10.0,1.0,3.938828828,7.78352177,5.2213298130000005,7.414327537,10.0,8.333333332999999,5.583266127999999,4.615816087,7.823979136,7.422322801,1.0,7.133099623,9.51322199,9.838112599999999,9.777553084,10.0,9.782221919,8.252222222,7.515049117999999,10.0,6.367872143,8.033785871000001,9.47941333,7.04477752,7.3736908020000005,7.965960551
2013,BLZ,Belize,7.03,72.0,2.0,"0,68833652",6.647058824,4.0,9.0,7.0830609639999995,7.377462984,5.231474587,7.351332068,6.8,,3.329065561,7.307131049,7.723070547000001,7.55810551,0.837837838,6.050810265,8.608053132,9.670762672,9.869489577000001,0.0,7.037076345,6.6445777779999995,7.142983957999999,10.0,4.481869279,7.067357754,9.947941842999999,6.981072142,6.76781704,7.898943675
2013,BEN,Benin,6.44,108.0,3.0,"5,600002481",6.064705882,6.0,3.5,6.33404513,7.057280467999999,4.77677146,7.099978772999999,7.1,,1.068746974,3.886170025,7.9163989070000005,7.981496365,0.666666667,4.884046143,9.321801072000001,9.157864907999999,9.805925926,0.0,7.071397977,6.9156,6.9124674960000005,10.0,3.330266683,6.789583545,10.0,5.503902077,5.902137547000001,7.1353465410000005
2013,BTN,Bhutan,6.93,80.0,3.0,"4,981880758",5.041176471,6.0,9.0,7.468850606,6.351407032999999,4.397572314,5.61954203,8.4,,7.365354835,6.617713964,6.558575737000001,7.695621427000001,0.923076923,6.370887901000001,9.67479884,9.245750716,8.598666667,0.0,6.879804056,9.82,4.959932932,10.0,1.4497412180000002,6.557418537,7.246926811,8.638740403,6.295208907,7.393625374
2013,BOL,Bolivia,6.4,110.0,3.0,"6,775601009",6.264705882,0.0,10.0,6.275304536,3.8230748969999997,4.265077277,4.084681402,5.0,4.166666667,3.993334023,6.735226572999999,4.089980314,4.350035836,0.837837838,4.135959813,7.384807595,7.490325057000001,8.85688398,10.0,8.433004158,7.766244427999999,5.4941679379999995,10.0,6.287608725,7.387005273,9.0,4.481548486,3.75686885,5.746139112000001
2013,BIH,Bosnia and Herzegovina,6.61,100.0,3.0,"0,364933545",5.488235294,4.0,6.5,5.362286729,3.50721584,4.009745132,3.68895016,5.3,,3.914579315,7.837119866,3.656263744,4.626946384,0.8918918920000001,4.32070512,9.771035947,9.659562347,9.982671708,5.0,8.603317500000001,8.481066667,6.18442562,10.0,5.2979237999999995,7.490854022000001,9.480411181000001,6.87026701,5.525724751,7.292134314
2013,BWA,Botswana,7.27,53.0,2.0,"5,897276144",3.882352941,7.0,9.0,6.76159641,6.457826343,5.207729018999999,6.499660914,8.333333332999999,5.833333333,3.3360712510000003,8.040084127,5.424364727,5.214137216,0.972972973,5.956903062,8.355492815,6.3774136960000005,8.823222303,10.0,8.389032204,6.060977778,5.68107483,10.0,7.279628069,7.255420169,9.333333332999999,7.614932821,6.984936616000001,7.977734257000001
2013,BRA,Brazil,6.05,127.0,4.0,"2,492011803",4.844117647,4.0,6.0,5.3838742889999995,4.255264021,3.550847811,4.989275362,6.666666667,3.333333333,3.997439337,8.579116078,4.848202224,3.7183950169999997,0.8918918920000001,4.618164848999999,9.227665377000001,9.524354764,8.759620077000001,5.0,8.127910055,7.181555556,6.472516562000001,9.449059904,5.433728653999999,7.134215169,6.926128092999999,4.360984796,3.714042112,5.000385
